Organisation Name,Trading Name,Certificate ID,Suburb/City,Country,Status,Current Certification Date,Certification Expiry Date,Phone,Email,Website
Advantage Pharmacy Berri,,3770,BERRI,Australia,Active,2024-07-23,2026-10-23,08 8582 3700,berri@alliancepharmacy.com.au,http://www.amcal.com.au
Advantage Pharmacy Bondi Junction,,5334,BONDI JUNCTION,Australia,Active,2024-08-07,2026-11-07,,,
Advantage Pharmacy Central Clinic,,6303,WARRAGUL,Australia,Active,2025-10-30,2028-01-30,0356233696,,
Advantage Pharmacy Chadstone,,474,CHADSTONE,Australia,Active,2026-03-05,2028-06-04,03 9568 1328,advantage.chadstone@gmail.com,
Advantage Pharmacy Elsternwick,,2439,ELSTERNWICK,Australia,Active,2024-10-29,2027-01-29,03 9528 5127,elsternwick@advantagepharmacy.com.au,
Advantage Pharmacy Florida Beach,,6926,DAWESVILLE,Australia,Active,2025-08-07,2027-11-07,0895080992,florida@fpgpharmacy.com.au,https://www.advantagepharmacyfloridabeach.com.au
Advantage Pharmacy Hawthorn,,6253,HAWTHORN,Australia,Active,2024-09-25,2026-12-25,03 9852 8700,hawthorn.advantage@gmail.com,http://advantagepharmacy.com.au
Advantage Pharmacy Lakeside,,5400,PAKENHAM,Australia,Active,2025-05-09,2027-08-09,03 5940 2900,advantagepharmacylakeside@outlook.com,
Advantage Pharmacy Mornington,,3584,MORNINGTON,Australia,Active,2024-10-31,2027-01-31,03 5975 2554,advantage.mornington@gmail.com,https://independentpharmacies.com.au/store/5937/vic/advantage-pharmacy-mornington/
Advantage Pharmacy Morwell,,315,MORWELL,Australia,Active,2024-07-02,2026-10-02,03 5134 2388,morwelladv@advantagepharmacy.com.au,
Advantage Pharmacy Warradale,,2944,WARRADALE,Australia,Active,2025-10-30,2028-01-30,08 8295 1873,warradale109@gmail.com,http://advantagepharmacy.com.au
Advantage Pharmacy Warragul,,130,WARRAGUL,Australia,Active,2026-04-29,2028-07-29,03 5623 2021,,https://www.advantagepharmacy.com.au/
Affinity Pharmacy,,951,EAST PERTH,Australia,Active,2025-06-30,2027-09-30,0892211691,staff@affinitychemists.com,
AFS Pharmacy - City Heart,,1693,ROCKHAMPTON,Australia,Active,2025-02-18,2027-05-17,,,
AFS Pharmacy - Frenchville,,4212,FRENCHVILLE,Australia,Active,2025-02-18,2027-05-17,0749281230,dean@afschemist.com.au,
AFS Pharmacy - Wandal,,6733,ROCKHAMPTON DC,Australia,Active,2024-12-07,2027-03-07,,,
Agapy Pharmacy,,4500,SYLVANIA HEIGHTS,Australia,Active,2026-05-08,2028-08-08,,,
AHPC Pharmacy Outlet Eastland,,6524,RINGWOOD,Australia,Active,2026-03-26,2028-06-26,,,
Aireys Inlet Pharmacy,,5810,AIREYS INLET,Australia,Active,2025-05-30,2027-08-30,03 5289 7434,aireyspharmacy@gmail.com,http://www.aireysinlet.org.au/
Aitkenvale Medical Centre Pharmacy,,289,AITKENVALE,Australia,Active,2025-05-13,2027-08-13,0747251167,,
Aitkenvale Pharmacy,,2834,AITKENVALE,Australia,Active,2025-09-13,2027-12-13,0747798086,,
Albany Amcal Max,,232,ALBANY,Australia,Active,2024-08-27,2026-11-27,08 9842 2036,,https://www.amcal.com.au/store-locator/amcal-plus-pharmacy-albany-plaza?storeId=10301
Albany Community Pharmacy 777,,3899,ALBANY,Australia,Active,2024-08-29,2026-11-29,0898411532,albany@pharmacy777.com.au,
Albany Creek Discount Chemist,,103,ALBANY CREEK,Australia,Active,2026-02-08,2028-05-07,0732643422,albanycreek@discountchemist.net,
Albany Dog Rock Chemist,,1797,ALBANY,Australia,Active,2025-12-03,2028-03-03,08 9841 1115,dogrock@alliancepharmacy.com.au,
Albany Hills Radius Pharmacy,,6969,ALBANY CREEK,Australia,Active,2026-02-26,2028-05-26,07 3725 5808,,
Albany Plaza Discount Drug Store,,3826,ALBANY,Australia,Active,2026-02-21,2028-05-20,08 9841 5855,albanyplaza@discountdrugstores.com.au,
Albion Day & Night ScriptRite Pharmacy,,868,ALBION,Australia,Active,2025-06-28,2027-09-28,07 3262 4307,albionpharmacy@scriptrite.com.au,
Albion Park Pharmacy 777,,1452,ALBION PARK,Australia,Active,2025-08-08,2027-11-08,0242564610,albionpark@pharmacy777.com.au,https://www.pharmacy777.com.au/
Albion Park Rail Pharmacy,,3819,ALBION PARK RAIL,Australia,Active,2025-06-29,2027-09-29,02 4256 1403,jgc191@hotmail.com,
Albion Pharmacy,,5066,BRUNSWICK WEST,Australia,Active,2025-06-27,2027-09-27,03 9386 4715,voulgaris1@hotmail.com,
Albury City Terrywhite Chemmart,,1578,ALBURY,Australia,Active,2025-03-02,2027-06-01,02 6021 6493,pollock_amy@hotmail.com,https://www.capitalchemist.com.au/
Alderley Plaza Chemist,,1046,ALDERLEY,Australia,Active,2025-07-16,2027-10-16,07 3356 6071,alderleyplaza.pharmacy@nunet.com.au,
Aldgate Pharmacy,,3117,ALDGATE,Australia,Active,2025-10-14,2028-01-14,08 8339 1055,aldgate.pharmacy@internode.on.net,
Alexandra Community Pharmacy,,3219,ALEXANDRA,Australia,Active,2026-05-07,2028-08-07,0357722153,alexandra.pharmacy@yahoo.com.au,https://www.alexandrapharmacy.com.au/
Alfords Point Pharmacy,,5144,ALFORDS POINT,Australia,Active,2025-04-28,2027-07-28,02 9541 0700,alfords.point@optusnet.com.au,
Alfrieda Street Pharmacy,,198,ST ALBANS,Australia,Active,2026-03-18,2028-06-18,0393663173,alfriedast.pharmacy@gmail.com,https://alfriedastreetpharmacy.com.au/
Algester Pharmacy,,4055,ALGESTER,Australia,Active,2025-03-11,2027-06-10,07 3273 1182,algesterpharmacy@gmail.com,https://algesterpharmacy.com/
Alice Springs Pharmacy,,4350,ALICE SPRINGS,Australia,Active,2024-08-26,2026-11-26,0889521554,alicesp@unitedps.net.au,
Alive Pharmacy DFO,,2777,WESTCOURT,Australia,Active,2025-06-05,2027-09-05,,,
Alive Pharmacy Edmonton,,189,EDMONTON,Australia,Active,2025-06-21,2027-09-21,,,
Alive Pharmacy Warehouse Innisfail,,5975,EAST INNISFAIL,Australia,Active,2024-09-13,2026-12-13,07 4061 1143,innisfail@alivepharmacy.com.au,https://www.alivepharmacy.com.au/
Alive Pharmacy Warehouse Mount Sheridan,,4968,MOUNT SHERIDAN,Australia,Active,2025-06-19,2027-09-19,07 4036 3999,mtsheridan@alivepharmacy.com.au,https://www.alivepharmacy.com.au/
Alive Pharmacy Warehouse Smithfield,,391,SMITHFIELD,Australia,Active,2026-02-28,2028-05-27,07 4038 8900,smithfield@vitalitypharmacy.com.au,www.vitalitypharmacy.com.au
Alive Pharmacy Warehouse Smithfield Doctors,,6450,SMITHFIELD,Australia,Active,2025-01-11,2027-04-10,07 4038 1385,,https://www.alivepharmacy.com.au/
Alive Pharmacy Warehouse Westcourt,,188,WESTCOURT,Australia,Active,2025-06-20,2027-09-20,07 4051 6005,westcourt@alivepharmacy.com.au,https://www.alivepharmacy.com.au/alive-westcourt
Alive Pharmacy Warehouse Willows,,6112,THURINGOWA CENTRAL,Australia,Active,2025-06-18,2027-09-18,07 4723 3988,,https://www.alivepharmacy.com.au
Allambie Compounding Pharmacy,,3382,ALLAMBIE HEIGHTS,Australia,Active,2026-02-22,2028-05-21,02 9451 5461,info@allambiepharmacy.com.au,https://allambiepharmacy.com.au/
Allawah Pharmacy,,3386,ALLAWAH,Australia,Active,2024-09-19,2026-12-19,02 9587 9178,allawahpharmacy@gmail.com,
Allcare Pharmacy,,6137,HORNINGSEA PARK,Australia,Active,2025-09-20,2027-12-20,0296079997,,
Allen's Pharmacy,,3095,GOONDIWINDI,Australia,Active,2025-12-12,2028-03-12,,,
Allenstown Discount Pharmacy Rockhampton,,2558,ALLENSTOWN,Australia,Active,2025-08-01,2027-11-01,,,
Alliance Pharmacy Home Hill,,458,HOME HILL,Australia,Active,2025-05-27,2027-08-27,07 4782 1228,mark.alliancepharmacy@outlook.com.au,https://www.guardianpharmacies.com.au/
Allora Pharmacy,,1129,ALLORA,Australia,Active,2025-04-24,2027-07-24,07 4666 3100,allorapharmacy@gmail.com,
Allure Pharmacy,,3271,CANBERRA,Australia,Active,2024-09-30,2026-12-30,02 6249 8074,canberracivic@allurepharmacy.com.au,https://www.allurepharmacy.com.au/
Alpha Jericho Pharmacy,,6666,ALPHA,Australia,Active,2026-02-05,2028-05-05,07 4985 1943,alphachemist3dell@gmail.com,
Alpha Pharmacy,,3000,AUBURN,Australia,Active,2025-05-31,2027-08-31,02 9649 7064,citywestpharmacy@gmail.com,
Amals Discount Chemist,,3891,WEST RYDE,Australia,Active,2025-04-22,2027-07-22,02 9809 3596,dany@amals.com.au,http://www.amals.com.au/
Amaroo Medical Pharmacy,,6827,MAREEBA,Australia,Active,2025-10-04,2028-01-04,07 4017 2100,,
Ambassadors Pharmacy,,1867,MANJIMUP,Australia,Active,2025-09-04,2027-12-04,08 9771 1373,ambassadors@manjimuppharmacy.com,
Amberly Park Pharmacy,,5310,NARRE WARREN SOUTH,Australia,Active,2025-02-03,2027-05-03,0397030322,info@amberlypharmacy.com.au,https://www.amberlypharmacy.com.au
Amcal + Narellan Medical Centre Pharmacy,,6788,NARELLAN,Australia,Active,2025-03-15,2027-06-15,02 4607 7037,narellanmedical@amcal.net.au,https://www.amcal.com.au/store-locator/amcal-express-medical-centre-pharmacy-narellan
Amcal Airport West,,2827,AIRPORT WEST,Australia,Active,2025-08-28,2027-11-28,03 9330 1150,,
Amcal Alphington,,7032,ALPHINGTON,Australia,Active,2025-09-29,2027-12-29,03 7050 5700,,
Amcal Arden Gardens Pharmacy,,2553,NORTH MELBOURNE,Australia,Active,2025-01-28,2027-04-28,03 9328 4456,,
Amcal Aspendale Gardens,,4541,ASPENDALE GARDENS,Australia,Active,2026-02-08,2028-05-07,03 9587 5566,aspendalegardens@stores.mychemist.com.au,http://www.mychemist.com.au
Amcal Aston Hills Mount Barker,,6936,MOUNT BARKER,Australia,Active,2025-05-29,2027-08-29,08 7092 6006,astonhills@amcal.net.au,https://www.amcal.com.au/store/3906/sa/amcal-aston-hills-mount-barker/
Amcal Bayswater Drive-In Pharmacy,,1765,BAYSWATER,Australia,Active,2025-09-25,2027-12-25,08 9272 4465,pharmacy@bdic.com.au,
Amcal Broadmeadows,,5984,BROADMEADOWS,Australia,Active,2026-04-16,2028-07-16,03 9309 5351,broadmeadows@stores.mychemist.com.au,www.mychemist.com.au
Amcal Burwood Highway Pharmacy,,6785,BURWOOD,Australia,Active,2025-03-08,2027-06-08,,,
AMCAL Camberwell,,5538,CAMBERWELL,Australia,Active,2025-05-25,2027-08-25,03 9882 6655,camberwell@amcal.net.au,https://www.amcal.com.au/store/4658/vic/amcal-pharmacy-camberwell/
Amcal Cannington,,6537,CANNINGTON,Australia,Active,2025-12-18,2028-03-18,0893519147,cannington@amcal.net.au,
Amcal Castle Towers,,4760,CASTLE HILL,Australia,Active,2024-11-02,2027-02-02,02 9634 4040,castlehill@stores.mychemist.com.au,www.mychemist.com.au
Amcal Chadstone,,2371,MALVERN EAST,Australia,Active,2026-01-24,2028-04-23,,,
Amcal Chemist Carnarvon,,2056,CARNARVON,Australia,Active,2025-02-26,2027-05-25,0899411547,carnarvon@amcal.net.au,https://www.amcal.com.au/
Amcal Chermside Pharmacy,,2027,CHERMSIDE,Australia,Active,2025-09-17,2027-12-17,,,
Amcal Coburg,,2374,COBURG,Australia,Active,2026-02-21,2028-05-20,03 9386 1000,amcal.coburg@stores.mychemist.com.au,www.mychemist.com.au
Amcal Colonnades,,2488,NOARLUNGA CENTRE,Australia,Active,2024-08-06,2026-11-06,,,
Amcal Corinda,,1407,CORINDA,Australia,Active,2026-02-26,2028-05-25,,,
Amcal Dallas Pharmacy,,4722,DALLAS,Australia,Active,2025-07-15,2027-10-15,,,
Amcal Doncaster,,2360,DONCASTER,Australia,Active,2024-10-09,2027-01-09,03 9848 2768,doncaster@stores.mychemist.com.au,www.mychemist.com.au
Amcal Dontown,,2369,DONCASTER,Australia,Active,2026-01-29,2028-04-28,03 9848 4055,dontown@stores.mychemist.com.au,www.mychemist.com.au
Amcal Epsom Ave Pharmacy,,3073,BELMONT,Australia,Active,2026-04-11,2028-07-11,08 9277 3446,epsomavenue@amcal.net.au,https://www.pharmacy777.com.au/
Amcal Express,,6174,BOWRAL,Australia,Active,2026-02-24,2028-05-24,,,
Amcal Express Burswood,,2771,BURSWOOD,Australia,Active,2024-07-28,2026-10-28,08 9361 8777,burswood@amcal.net.au,
Amcal Findlay & Weymouth Sale,,502,SALE,Australia,Active,2025-02-04,2027-05-03,0351442005,sale@amcal.net.au,
Amcal Frankston,,2351,FRANKSTON EAST,Australia,Active,2026-02-12,2028-05-11,03 9781 5760,frankston@stores.mychemist.com.au,http://www.mychemist.com.au
Amcal Heidelberg West Pharmacy,,4555,HEIDELBERG WEST,Australia,Active,2024-06-21,2026-09-21,,,
Amcal Kingsthorpe Pharmacy,,5758,KINGSTHORPE,Australia,Active,2025-04-15,2027-07-15,0746993836,kingsthorpe@japgroup.com.au,
Amcal Lakelands Medical Centre,,5642,NORTH LAKES,Australia,Active,2025-10-01,2027-12-31,07 3482 2422,amcal.lakelandsmedical@stores.mychemist.com.au,
Amcal Largs Bay Chemist,,3313,LARGS NORTH,Australia,Active,2024-11-12,2027-02-12,08 8449 7172,largsbay@terrywhitechemmart.com.au,http://www.chemplus.com.au
Amcal Maroochydore,,1339,MAROOCHYDORE,Australia,Active,2025-04-29,2027-07-29,,,
Amcal Maryland,,2512,MARYLAND,Australia,Active,2025-04-29,2027-07-29,,,
Amcal Max Pharmacy Kempsey,,1152,EAST KEMPSEY,Australia,Active,2025-03-28,2027-06-27,02 6562 4266,kempsey@amcal.net.au,https://www.amcal.com.au/store-locator/nsw/amcal-plus-pharmacy-kempsey
Amcal Melbourne,,7022,MELBOURNE,Australia,Active,2024-08-26,2026-11-26,03 7050 3800,,
Amcal Mid Valley Shopping Centre,,2942,MORWELL,Australia,Active,2025-08-15,2027-11-15,03 5133 7402,midvalley@stores.mychemist.com.au,www.mychemist.com.au
Amcal Mildura,,1372,MILDURA,Australia,Active,2025-05-08,2027-08-08,03 5023 1844,amcal.mildura@stores.mychemist.com.au,www.mychemist.com.au
Amcal Moonee Ponds,,2355,MOONEE PONDS,Australia,Active,2026-02-01,2028-04-30,03 9370 4664,mooneeponds@stores.mychemist.com.au,www.mychemist.com.au
Amcal North Balwyn,,1503,BALWYN NORTH,Australia,Active,2025-11-30,2028-03-01,,,
Amcal North Melbourne Pharmacy,,1678,NORTH MELBOURNE,Australia,Active,2024-08-31,2026-12-01,03 9936 0542,northmelbourne@amcal.net.au,
Amcal Northland,,2342,PRESTON,Australia,Active,2026-01-22,2028-04-21,,,
Amcal Pharmacy Aspley,,2720,ASPLEY,Australia,Active,2024-11-27,2027-02-27,0737092030,pharmacyaspley01@gmail.com,https://www.amcal.com.au/store/3663/qld/amcal-plus-pharmacy-aspley/
Amcal Pharmacy Ballajura,,4542,BALLAJURA,Australia,Active,2025-11-21,2028-02-21,,,
Amcal Pharmacy Belconnen,,92,BELCONNEN,Australia,Active,2025-07-11,2027-10-11,02 6251 4767,bmpccc@gmail.com,https://www.amcal.com.au/store-locator/act/amcal-pharmacy-belconnen-mall
Amcal Pharmacy Cambooya,,6596,CAMBOOYA,Australia,Active,2024-12-12,2027-03-12,07 4696 0271,cambooya.pharmacy@gmail.com,
Amcal Pharmacy Frankston,,571,FRANKSTON SOUTH,Australia,Active,2025-05-28,2027-08-28,,,
Amcal Pharmacy Kedron,,3835,KEDRON,Australia,Active,2025-04-12,2027-07-12,,,
Amcal Pharmacy Malvern,,5256,MALVERN NORTH,Australia,Active,2024-06-17,2026-09-17,03 9509 4622,malvernpcy@yahoo.com,
Amcal Pharmacy Newstead,,2128,NEWSTEAD,Australia,Active,2025-10-23,2028-01-23,03 6331 1129,newstead@terrywhitechemmart.com.au,
Amcal Pharmacy Potts Point,,4841,POTTS POINT,Australia,Active,2024-10-11,2027-01-11,0293680310,pottspoint@amcal.net.au,
Amcal Pharmacy Preston,,3977,PRESTON,Australia,Active,2024-06-25,2026-09-25,0394701444,prestonmarketpharmacy@gmail.com,https://amcalpreston.carrd.co/
Amcal Pharmacy Regents Park,,6772,REGENTS PARK,Australia,Active,2025-02-15,2027-05-15,07 3086 9297,,
Amcal Pharmacy Southland,,707,CHELTENHAM,Australia,Active,2026-04-04,2028-07-03,03 9583 3292,southland@southlandpharmacy.com.au,https://www.amcal.com.au/
Amcal Pharmacy Strathpine,,3932,STRATHPINE,Australia,Active,2025-07-17,2027-10-17,07 3205 2645,,
Amcal Pharmacy Wantirna South,,262,WANTIRNA SOUTH,Australia,Active,2025-06-03,2027-09-03,03 9801 2111,studfield@pharmasave.net.au,
Amcal Pharmacy Zilzie,,5803,ZILZIE,Australia,Active,2025-05-14,2027-08-14,07 4938 7670,zilzie@amcal.net.au,https://www.guardianpharmacies.com.au/store-locator/guardian-pharmacy-zilzie
Amcal Plus Life Clinic Burwood One,,2292,BURWOOD EAST,Australia,Active,2025-09-14,2027-12-14,03 9886 6777,burwoodone@qualitypharmacy.com.au,www.qualitypharmacy.com.au
Amcal Ravenswood Pharmacy,,5989,RAVENSWOOD,Australia,Active,2024-08-17,2026-11-17,0895376985,dispensary@ravenswoodpharmacy.com.au,https://www.ravenswoodpharmacy.com.au
Amcal Reservoir,,2344,RESERVOIR,Australia,Active,2026-02-12,2028-05-11,0394606993,reservoir@stores.mychemist.com.au,https://www.amcal.com.au/store/6081/VIC/amcal-plus-pharmacy-reservoir/
Amcal Shearwater,,1228,SHEARWATER,Australia,Active,2024-06-28,2026-09-28,,,
Amcal South Yarra - Como Centre,,4166,SOUTH YARRA,Australia,Active,2026-02-18,2028-05-18,,,
Amcal St Clair Pharmacy,,6121,ST CLAIR,Australia,Active,2025-10-25,2028-01-25,08 8244 6077,amcalstclair@chemcentral.com.au,https://www.amcal.com.au/store-locator/sa/st-clair-amcal-pharmacy
Amcal Tooronga,,1636,GLEN IRIS,Australia,Active,2024-06-16,2026-09-16,03 9822 2342,Gleniris@amcal.net.au,https://www.amcal.com.au/
Amcal Tunstall Square,,1615,DONCASTER EAST,Australia,Active,2025-11-30,2028-03-01,,,
Amcal Victor Central Chemist,,1264,VICTOR HARBOR,Australia,Active,2026-07-01,2028-10-01,08 8552 1797,pharmacy@victorcentralchemist.com.au,https://www.terrywhitechemmart.com.au
Amcal Wanneroo Pharmacy,,4259,WANNEROO,Australia,Active,2025-05-25,2027-08-25,0894052229,dispensary@wanneroopharmacy.com,https://www.wanneroopharmacy.com
Amcal Waroona Pharmacy,,4089,WAROONA,Australia,Active,2025-05-24,2027-08-24,,,
Amcal Westfield Plenty Valley,,2991,MILL PARK,Australia,Active,2024-06-30,2026-09-30,03 9404 1061,amcal.plentyvalley@stores.mychemist.com.au,
Amcal Yokine Pharmacy,,4857,YOKINE,Australia,Active,2025-03-23,2027-06-22,08 9349 1676,,
Amcal+ Emu Plains,,1692,EMU PLAINS,Australia,Active,2025-07-30,2027-10-30,02 4735 1303,,
AMCAL+ Knightsbridge Pharmacy,,1906,CASTLE HILL,Australia,Active,2026-02-23,2028-05-22,02 9680 3252,info@edispense.com.au,
Andersonâ€™s Pharmacy,,903,WILLOUGHBY,Australia,Active,2024-07-16,2026-10-16,02 9958 8352,andersons.willoughby@gmail.com,
Andrew Place Pharmacy,,4008,BUNDOORA,Australia,Active,2025-02-27,2027-05-26,03 9467 1402,andrewplacepharmacy@gmail.com,
Andrews Pharmacy,,3494,CORRIMAL,Australia,Active,2026-02-18,2028-05-18,,,
Angela Lombardi Pharmacy,,1966,PRESTON WEST,Australia,Active,2025-03-28,2027-06-27,,,
Angelo Street Pharmacy,,554,SOUTH PERTH,Australia,Active,2025-04-17,2027-07-17,0893675641,angelostreetpharmacy@gmail.com,
Anglesea Pharmacy,,687,ANGLESEA,Australia,Active,2026-02-07,2028-05-07,03 5263 1540,service@angleseapharmacy.com.au,www.angleseapharmacy.com.au
Anna Bay Pharmacy,,238,ANNA BAY,Australia,Active,2025-04-19,2027-07-19,0249822490,annabaypharmacy@gmail.com,
Annandale Village Pharmacy,,5157,ANNANDALE,Australia,Active,2026-06-25,2028-09-25,02 9660 1276,annandale@mediadvice.com.au,https://annandalevillagepharmacy.com.au
Annangrove Pharmacy,,5880,ANNANGROVE,Australia,Active,2025-03-24,2027-06-23,0296792635,,
Annerley 7 days Chempro Chemist,,332,ANNERLEY,Australia,Active,2025-03-27,2027-06-26,0738921494,annerley@chempro.com.au,
Annerley Medical Chempro Chemist,,6957,ANNERLEY,Australia,Active,2025-10-23,2028-01-23,0737097585,,
Apollo Bay Pharmacy,,2101,APOLLO BAY,Australia,Active,2025-02-28,2027-05-27,0352376312,apollobaypharmacy@gmail.com,
Appin Compounding Pharmacy,,3113,APPIN,Australia,Active,2025-09-28,2027-12-28,02 4631 1488,appinpharmacy@bigpond.com.au,www.appinpharmacy.com.au
Aratula Pharmacy,,7023,ARATULA,Australia,Active,2024-08-26,2026-11-26,0721428253,aratulapharmacy@hotmail.com,
Arcade Pharmacy,,1591,ENGADINE,Australia,Active,2026-05-26,2028-08-26,0295208484,arcade.pharmacy@frednet.com.au,
Ardrossan Pharmacy,,3650,ARDROSSAN,Australia,Active,2024-06-27,2026-09-27,08 8837 3177,ardrossan@alliancepharmacy.com.au,
Arkles Pharmacy,,1814,BONDI,Australia,Active,2025-02-22,2027-05-21,02 9389 3118,,
Armadale Pharmacy Victoria,,2126,ARMADALE,Australia,Active,2026-04-30,2028-07-30,,,
Arncliffe Station Pharmacy,,4411,ARNCLIFFE,Australia,Active,2025-05-14,2027-08-14,02 9567 1554,arncliffestationpharmacy@outlook.com,
Arundel Chempro Chemist,,4230,ARUNDEL,Australia,Active,2025-10-26,2028-01-26,0755715565,arundel@chempro.com.au,
AS Pharmacies,,3004,MOUNT WAVERLEY,Australia,Active,2025-08-26,2027-11-26,03 9807 2619,mtwaverley@aspharmacies.com.au,
Ascot Vale Pharmacy,,1747,ASCOT VALE,Australia,Active,2025-02-18,2027-05-17,03 9370 4146,ascotvale.pharmacy@frednet.com.au,www.ascotvalepharmacy.com.au
Ashburton Family Pharmacy,,1592,ASHBURTON,Australia,Active,2024-11-22,2027-02-22,0398851713,ashburtonfamilypharmacy@gmail.com,https://www.ashburtonfamilypharmacy.com.au
Ashburton Pharmacy,,2182,ASHBURTON,Australia,Active,2025-06-17,2027-09-17,,,
Ashgrove West Pharmacy,,5854,ASHGROVE WEST,Australia,Active,2025-03-18,2027-06-17,,,
Ashmore City Chempro Chemist,,31,Ashmore,Australia,Active,2025-09-10,2027-12-10,0755391915,ashmorecity@chempro.com.au,
Ashmore Plaza Chempro,,4808,AUSTRAL,Australia,Active,2025-05-23,2027-08-23,,,
Aspendale Pharmacy,,2136,ASPENDALE,Australia,Active,2024-11-18,2027-02-18,0395804000,aspendalepharmacy@gmail.com,
Aspley Day & Night Pharmacy,,4133,ASPLEY,Australia,Active,2025-02-20,2027-05-19,07 3263 1133,info@aspleydayandnight.com.au,www.aspleydayandnight.com.au
Astley Pharmacy and Mobility,,651,PENNANT HILLS,Australia,Active,2025-02-13,2027-05-12,02 9484 7070,astleypharmacyph@gmail.com,https://astleymobility.com/
Astley Pharmacy St Marys,,1299,NORTH ST MARYS,Australia,Active,2025-10-04,2028-01-04,,,
Atallah's Pharmacy,,327,HURSTVILLE,Australia,Active,2025-12-17,2028-03-17,0295802145,,
Atara Compounding Pharmacy,,6665,VERMONT SOUTH,Australia,Active,2025-10-01,2028-01-01,,,
Atara Pharmacy,,5588,Foresthill,Australia,Active,2026-04-13,2028-07-13,,,
Athelstane Pharmacy,,3787,ARNCLIFFE,Australia,Active,2026-05-27,2028-08-27,02 9567 1534,athelstane2205@gmail.com,
Atherton Wholelife Pharmacy & Healthfoods,,1832,ATHERTON,Australia,Active,2026-02-13,2028-05-12,0740911027,atherton@wholelife.com.au,
Atkins Pharmacy,,3286,NIDDRIE,Australia,Active,2024-10-16,2027-01-16,03 9379 8383,niddriepharmacy@gmail.com,
Atlis Country Pharmacy,,909,NOWRA,Australia,Active,2025-09-23,2027-12-23,0244210230,info@atlispharmacy.com.au,
Atrium Plaza Pharmacy,,3294,HERSTON,Australia,Active,2025-04-24,2027-07-24,07 3854 0474,atrium@nunet.com.au,www.atriumplazapharmacy.com.au
Atwell Community Pharmacy,,5101,ATWELL,Australia,Active,2025-05-24,2027-08-24,08 9414 6000,atwellrx@bigpond.net.au,http://www.atwell7daypharmacy.com/
Auburn Central Pharmacy,,6118,AUBURN,Australia,Active,2025-08-30,2027-11-30,02 9649 2900,auburncentralpcy@gmail.com,
Augusta Road Pharmacy,,1931,LENAH VALLEY,Australia,Active,2025-05-25,2027-08-25,03 6228 3990,augustapharmacy@netspace.net.au,
Aussie Chemist Burwood,,4033,BURWOOD,Australia,Active,2025-03-27,2027-06-26,02 9747 2189,burwoodpharmacy@outlook.com,www.pharmacy4less.com.au
Aussie Pharmacy Corrimal,,3994,CORRIMAL,Australia,Active,2024-09-23,2026-12-23,02 4284 4036,corrimal@aussiepharmacy.com.au,
Aussie Pharmacy Mt Druitt,,6460,MOUNT DRUITT,Australia,Active,2025-03-08,2027-06-08,0283191800,,
